Language,                English,             Russian
STR_WMT_Module_Device_Yes, "Yes", "Так"
STR_WMT_Module_Device_No, "No", "Ні"
STR_WMT_Module_Device_Object, "Object", "Об'єкт"
STR_WMT_Module_Device_DESC_Object, "The object to attach the REB to. By default gets Synced object.", "Об'єкт для підключення системи РЕБ. За замовчуванням береться об'єкт який синхронізовано з модулем."
STR_WMT_Module_Device_Radius, "Radius", "Радіус"
STR_WMT_Module_Device_DESC_Radius, "The effective radius of the REB effect.", "Ефективний радіус дії РЕБ."
STR_WMT_Module_Device_Deadzone, "Deadzone", "Мертва зона"
STR_WMT_Module_Device_DESC_Deadzone, "The deadzone radius where dron disconnects.", "Радіус мертвої зони, де дрон відключається."
STR_WMT_Module_Device_Strength, "Strength", "Потужність"
STR_WMT_Module_Device_DESC_Strength, "The strength (power) of the REB effect.", "Потужність (сила) ефекту РЕБ."
STR_WMT_Module_Device_IsAttachable, "Is attachable", "Можна прикріплювати"
STR_WMT_Module_Device_DESC_IsAttachable, "Whether the REB can be attached/detached to objects.", "Чи можна прикріплювати/від'єднувати РЕБ до об'єкту."
STR_WMT_Module_Device_CanModifyRange, "Can modify range", "Змінюваний радіус"
STR_WMT_Module_Device_DESC_CanModifyRange, "Whether the range can be changed.", "Чи можна змінювати радіус."
STR_WMT_Module_Device_CanModifyStrength, "Can modify strength", "Змінювана потужність"
STR_WMT_Module_Device_DESC_CanModifyStrength, "Whether the strength can be changed.", "Чи можна змінювати потужність."
STR_WMT_Module_Device_IsActive, "Is active", "Активний"
STR_WMT_Module_Device_DESC_IsActive, "Whether the REB is active on creation.", "Чи активний РЕБ при створенні."
