Language,                English,             Russian
STR_REB_Module_Device_Yes, "Yes", "Так"
STR_REB_Module_Device_No, "No", "Ні"
STR_REB_Module_Device_Object, "Object", "Об'єкт"
STR_REB_Module_Device_DESC_Object, "The object to attach the REB to. By default gets Synced object.", "Об'єкт для підключення системи РЕБ. За замовчуванням береться об'єкт який синхронізовано з модулем."
STR_REB_Module_Device_Radius, "Radius", "Радіус"
STR_REB_Module_Device_DESC_Radius, "The effective radius of the REB effect.", "Ефективний радіус дії РЕБ."
STR_REB_Module_Device_Deadzone, "Deadzone", "Мертва зона"
STR_REB_Module_Device_DESC_Deadzone, "The deadzone radius where dron disconnects.", "Радіус мертвої зони, де дрон відключається."
STR_REB_Module_Device_Strength, "Strength", "Потужність"
STR_REB_Module_Device_DESC_Strength, "The strength (power) of the REB effect.", "Потужність (сила) ефекту РЕБ."
STR_REB_Module_Device_IsAttachable, "Is attachable", "Можна прикріплювати"
STR_REB_Module_Device_DESC_IsAttachable, "Whether the REB can be attached/detached to objects.", "Чи можна прикріплювати/від'єднувати РЕБ до об'єкту."
STR_REB_Module_Device_CanModifyRange, "Can modify range", "Змінюваний радіус"
STR_REB_Module_Device_DESC_CanModifyRange, "Whether the range can be changed.", "Чи можна змінювати радіус."
STR_REB_Module_Device_CanModifyStrength, "Can modify strength", "Змінювана потужність"
STR_REB_Module_Device_DESC_CanModifyStrength, "Whether the strength can be changed.", "Чи можна змінювати потужність."
STR_REB_Module_Device_IsActive, "Is active", "Активний"
STR_REB_Module_Device_DESC_IsActive, "Whether the REB is active on creation.", "Чи активний РЕБ при створенні."
STR_REB_Module_Device_SimulateDamage, "Simulate Damage", "Симулювати пошкодження"
STR_REB_Module_Device_DESC_SimulateDamage, "Whether to simulate damage on REB object which has no damage model.", "Чи симулювати пошкодження на об'єкті РЕБ, який не має моделі пошкоджень."
STR_REB_Module_Device_SimulatedHealth, "Simulated Health", "Симулюване ХП"
STR_REB_Module_Device_DESC_SimulatedHealth, "Simulated damage health.", "Кількість ХП для симуляції пошкоджень."
STR_REB_Module_Device_linkedObjects, "Linked Objects", "Приєднані об'єкти"
STR_REB_Module_Device_DESC_linkedObjects, "Objects which will have ACE actions of control over the REB", "Об'єкт який буде мати АСЕ взаємодію для контролю РЕБу"
STR_REB_Module_Device_ActionsOnlyForCrew, "Actions only for crew", "Меню взаємодії лише для екіпажу"
STR_REB_Module_Device_DESC_ActionsOnlyForCrew, "Actions will be available only for crew in vehicle", "Меню взаємодії буде доступне лише для екіпажу техніки"
