Language,                English,             Russian
STR_REB_SET_RANGE,       "Set REB range",     "Встановити радіус дії РЕБу"
STR_REB_SET_STRENGTH,    "Set REB strength",  "Встановити силу дії РЕБу"
STR_REB_DISABLE,         "Disable REB",       "Вимкнути РЕБ"
STR_REB_ENABLE,          "Enable REB",        "Ввімкнути РЕБ"
STR_REB_VALUE,           "Value",             "Значення"
STR_REB_ATTACH,          "Attach REB",        "Прикріпити РЕБ"
STR_REB_placement_placed, "Object placed",    "Об'єкт встановлено"
STR_REB_placement_released,"Object released",  "Об'єкт відпущено"
STR_REB_placement_cannotPlace,"Cannot place here","Неможливо встановити тут"
STR_REB_RANGE_EXCEED_MAX,"Range exceeds maximum","Радіус перевищує максимум"
STR_REB_STRENGHT_EXCEED_MAX,"Strength exceeds maximum","Сила перевищує максимум"
